N,TiempoReal,TiempoCPU,Tiempo E/S,% CPU/Wall
3000000,11.1630880833,11.1150060000,0.0031830000,99.5977897609 %
4000000,18.4129469395,18.1998110000,0.0150870000,98.9244038984 %
5000000,24.2613890171,23.9608510000,0.1661670000,99.4461528274 %
6000000,26.4134650230,26.2285390000,0.0100780000,99.3380345105 %
10000000,53.6221680641,53.4459810000,0.0247150000,99.7175196946 %
