N,TiempoReal,TiempoCPU,Tiempo E/S,% CPU/Wall
3000000,1.2983601093,1.2952050000,0.0000000000,99.7569927398 %
4000000,1.5802698135,1.5799080000,0.0001830000,99.9886846198 %
5000000,1.9935569763,1.9902910000,0.0003440000,99.8534290039 %
6000000,2.8554420471,2.8472100000,0.0012600000,99.7558330022 %
10000000,4.1426291466,4.1304730000,0.0011700000,99.7348025568 %
