N,TiempoReal,TiempoCPU,Tiempo E/S,% CPU/Wall
3000000,12.2708120346,11.9233270000,0.1847240000,98.6735919828 %
4000000,17.3657810688,16.8257970000,0.2848040000,98.5305580682 %
5000000,19.2020740509,18.8901430000,0.2597840000,99.7284301125 %
6000000,28.1339659691,27.2864480000,0.4250620000,98.4984130231 %
10000000,53.8571448326,52.1302280000,0.8227800000,98.3212314069 %
