N,TiempoReal,TiempoCPU,Tiempo E/S,% CPU/Wall
3000000,3.8215699196,3.8082730000,0.0086770000,99.8791093796 %
4000000,8.0188691616,6.5896470000,0.0344310000,82.6061364328 %
5000000,6.5830399990,6.1099320000,0.4156450000,99.1271054252 %
6000000,8.0325388908,7.9854300000,0.0254910000,99.7308710094 %
10000000,13.2359070778,13.1429050000,0.0323690000,99.5419046278 %
