N,TiempoReal,TiempoCPU,Tiempo E/S,% CPU/Wall
3000000,2.0407950878,1.9714380000,0.0169690000,97.4329569820 %
4000000,2.1488149166,2.1284540000,0.0182640000,99.9024152060 %
5000000,2.7763221264,2.7425910000,0.0300680000,99.8680583080 %
6000000,3.3087821007,3.2575970000,0.0482810000,99.9122305250 %
10000000,6.0093040466,5.7846720000,0.0647790000,97.3399074936 %
